City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,naze,28.3667,28.3667,70.72,73,100,13.78,JP,1683165261
152,wuwei,37.9281,37.9281,54.97,25,100,4.16,CN,1683165261
153,atafu village,-8.5421,-8.5421,84.22,74,67,14.58,TK,1683165261
154,novo aripuana,-5.1206,-5.1206,74.39,97,36,0.47,BR,1683165261
155,mirny,62.5353,62.5353,34.11,95,99,10.89,RU,1683165261
156,yamethin,20.4333,20.4333,92.64,40,10,8.9,MM,1683165261
157,usogorsk,63.4106,63.4106,38.98,84,21,10.96,RU,1683165262
158,santa catalina,9.3337,9.3337,80.58,71,100,7.7,PH,1683165262
159,wynyard,-41.0,-41.0,59.97,54,5,4.5,AU,1683165262
160,mendaha,-1.0333,-1.0333,81.16,86,98,2.57,ID,1683165262
161,aykhal,66.0,66.0,31.87,91,100,18.79,RU,1683165262
162,bilibino,68.0546,68.0546,21.04,76,100,4.65,RU,1683165262
163,alice springs,-23.7,-23.7,67.55,40,7,12.66,AU,1683165262
164,punta arenas,-53.15,-53.15,46.51,76,40,23.02,CL,1683165263
165,linfen,36.0889,36.0889,64.49,84,100,5.26,CN,1683165263
166,savelugu,9.6244,9.6244,85.64,48,41,9.55,GH,1683165263
167,ust'-kulom,61.6864,61.6864,44.64,94,97,5.75,RU,1683165263
168,udachny,66.4167,66.4167,37.45,51,99,14.2,RU,1683165042
169,mangrol,21.1167,21.1167,80.33,73,25,4.61,IN,1683165263
170,zvishavane,-20.3267,-20.3267,55.53,77,0,1.23,ZW,1683165263
171,lopez jaena,10.8492,10.8492,78.73,87,100,7.81,PH,1683165264
172,kirensk,57.7853,57.7853,42.39,67,94,1.01,RU,1683165264
173,ouani,-12.1322,-12.1322,79.84,77,35,12.08,KM,1683165264
174,port mathurin,-19.6833,-19.6833,77.99,74,13,10.33,MU,1683165174
175,klaksvik,62.2266,62.2266,38.32,76,100,21.16,FO,1683165264
176,quellon,-43.1167,-43.1167,50.25,93,100,5.75,CL,1683165197
177,namibe,-15.1961,-15.1961,74.95,76,0,2.77,AO,1683165264
178,bandon,51.7469,51.7469,53.19,81,83,16.46,IE,1683165264
179,saint-pierre,-21.3393,-21.3393,70.57,68,75,10.36,RE,1683165265
180,hualien city,23.9769,23.9769,83.61,72,8,9.26,TW,1683165265
181,neryungri,56.6709,56.6709,29.91,86,100,12.17,RU,1683165265
182,tralee,52.2704,52.2704,50.16,81,81,11.63,IE,1683165265
183,yekaterinoslavka,50.3734,50.3734,51.73,38,27,20.45,RU,1683165265
184,ardestan,33.3761,33.3761,57.81,35,0,9.8,IR,1683165265
185,isafjordur,66.0755,66.0755,38.79,75,100,1.43,IS,1683165265
186,tindouf,27.6711,27.6711,82.85,21,61,16.11,DZ,1683165266
187,rabaul,-4.1967,-4.1967,83.68,72,100,3.04,PG,1683165266
188,molochnoye,59.2917,59.2917,32.65,90,7,4.97,RU,1683165266
189,borgarnes,64.5383,64.5383,41.81,70,99,3.58,IS,1683165266
190,eureka,40.8021,40.8021,56.57,85,99,5.01,US,1683165214
191,whistler,50.1164,50.1164,70.83,43,20,2.3,CA,1683165266
192,hithadhoo,-0.6,-0.6,81.81,81,100,25.37,MV,1683165266
193,vilyuysk,63.7553,63.7553,34.92,82,99,10.47,RU,1683165267
194,emporia,38.4039,38.4039,71.8,20,0,0.0,US,1683165267
195,loango,-4.6719,-4.6719,78.33,91,100,5.86,CG,1683165267
196,laughlin,35.1678,35.1678,81.91,15,0,15.01,US,1683165267
197,tamanrasset,22.785,22.785,69.71,11,0,5.75,DZ,1683165267
198,longyearbyen,78.2186,78.2186,22.84,86,75,3.44,SJ,1683165267
199,verkhnevilyuysk,63.4453,63.4453,34.23,93,100,9.51,RU,1683165267
200,vadso,70.0744,70.0744,27.48,74,100,14.97,NO,1683165268
201,sinabang,2.4803,2.4803,82.9,74,95,0.92,ID,1683165041
202,riachao das neves,-11.7461,-11.7461,74.19,67,53,1.52,BR,1683165268
203,la ronge,55.1001,55.1001,70.05,17,75,6.91,CA,1683165268
204,port blair,11.6667,11.6667,86.27,68,79,3.27,IN,1683165268
205,haifa,32.8156,32.8156,66.67,50,0,5.06,IL,1683165268
206,balabac,7.9868,7.9868,83.5,74,100,5.41,PH,1683165268
207,reggane,26.7158,26.7158,86.09,13,20,11.88,DZ,1683165268
208,richards bay,-28.783,-28.783,66.18,93,65,3.33,ZA,1683165269
209,fisterra,42.9049,42.9049,61.75,90,3,17.72,ES,1683165269
210,port elizabeth,-33.918,-33.918,58.1,97,0,4.61,ZA,1683165180
211,quelimane,-17.8786,-17.8786,65.93,81,0,1.66,MZ,1683165269
212,juneau,58.3019,58.3019,48.22,56,75,5.75,US,1683165269
213,nacozari viejo,30.4,30.4,64.44,35,100,13.62,MX,1683165269
214,ciudad bolivar,8.1222,8.1222,85.33,53,16,14.43,VE,1683165269
215,cockburn town,21.4612,21.4612,80.64,80,100,12.53,TC,1683165269
216,hamilton,39.1834,39.1834,52.43,72,11,1.01,US,1683165270
217,sorong,-0.8833,-0.8833,83.7,81,12,7.09,ID,1683165270
218,wailua homesteads,22.0669,22.0669,81.03,71,0,16.11,US,1683165270
219,qinzhou,21.95,21.95,84.36,71,46,13.31,CN,1683165270
220,santyoku,37.4406,37.4406,68.92,59,100,4.99,KR,1683165270
